Year,Week,Age,Value
2016,9,50-54,457.0
2016,9,55-59,698.0
2016,9,60-64,1037.0
2016,9,65-69,1218.0
2016,9,70-74,1715.0
2016,9,75-79,2876.0
2016,9,80-84,3239.0
2016,9,85-89,3597.0
2016,9,90-94,2556.0
2016,9,95+,871.0
2016,9,Insgesamt,18926.0
2016,10,0-29,147.0
2016,10,30-34,46.0
2016,10,35-39,73.0
2016,10,40-44,131.0
2016,10,45-49,270.0
2016,10,50-54,493.0
2016,10,55-59,753.0
2016,10,60-64,966.0
2016,10,65-69,1255.0
2016,10,70-74,1726.0
2016,10,75-79,2803.0
2016,10,80-84,3230.0
2016,10,85-89,3556.0
2016,10,90-94,2543.0
2016,10,95+,896.0
2016,10,Insgesamt,18888.0
2016,11,0-29,167.0
2016,11,30-34,63.0
2016,11,35-39,70.0
2016,11,40-44,128.0
2016,11,45-49,263.0
2016,11,50-54,505.0
2016,11,55-59,710.0
2016,11,60-64,949.0
2016,11,65-69,1244.0
2016,11,70-74,1594.0
2016,11,75-79,3013.0
2016,11,80-84,3224.0
2016,11,85-89,3586.0
2016,11,90-94,2567.0
2016,11,95+,888.0
2016,11,Insgesamt,18971.0
2016,12,0-29,174.0
2016,12,30-34,50.0
2016,12,35-39,78.0
