Datum,Altersgruppe,Todesfaelle
2016-W15,40-44,93
2016-W15,45-49,214
2016-W15,50-54,514
2016-W15,55-59,695
2016-W15,60-64,909
2016-W15,65-69,1160
2016-W15,70-74,1620
2016-W15,75-79,2824
2016-W15,80-84,2872
2016-W15,85-89,3349
2016-W15,90-94,2373
2016-W15,95+,828
2016-W15,Insgesamt,17712
2016-W16,0-29,150
2016-W16,30-34,41
2016-W16,35-39,77
2016-W16,40-44,111
2016-W16,45-49,271
2016-W16,50-54,437
2016-W16,55-59,670
2016-W16,60-64,890
2016-W16,65-69,1080
2016-W16,70-74,1505
2016-W16,75-79,2572
2016-W16,80-84,2869
2016-W16,85-89,3149
2016-W16,90-94,2180
2016-W16,95+,773
2016-W16,Insgesamt,16775
2016-W17,0-29,144
2016-W17,30-34,49
2016-W17,35-39,70
2016-W17,40-44,120
2016-W17,45-49,242
2016-W17,50-54,426
2016-W17,55-59,616
2016-W17,60-64,948
2016-W17,65-69,1097
2016-W17,70-74,1497
2016-W17,75-79,2622
2016-W17,80-84,2919
2016-W17,85-89,3193
2016-W17,90-94,2299
2016-W17,95+,811
2016-W17,Insgesamt,17053
2016-W18,0-29,163
2016-W18,30-34,45
2016-W18,35-39,68
2016-W18,40-44,111
2016-W18,45-49,239
2016-W18,50-54,448
2016-W18,55-59,669
2016-W18,60-64,888
2016-W18,65-69,1131
2016-W18,70-74,1452
2016-W18,75-79,2543
2016-W18,80-84,2909
2016-W18,85-89,3224
2016-W18,90-94,2239
2016-W18,95+,772
2016-W18,Insgesamt,16901
2016-W19,0-29,163
2016-W19,30-34,47
2016-W19,35-39,96
2016-W19,40-44,135
2016-W19,45-49,254
2016-W19,50-54,478
2016-W19,55-59,694
2016-W19,60-64,894
2016-W19,65-69,1144
2016-W19,70-74,1538
2016-W19,75-79,2645
2016-W19,80-84,3075
2016-W19,85-89,3222
2016-W19,90-94,2351
2016-W19,95+,893
2016-W19,Insgesamt,17629
2016-W2,0-29,149
2016-W2,30-34,55
2016-W2,35-39,68
2016-W2,40-44,125
2016-W2,45-49,258
2016-W2,50-54,462
2016-W2,55-59,745
2016-W2,60-64,983
2016-W2,65-69,1205
2016-W2,70-74,1585
2016-W2,75-79,2737
2016-W2,80-84,3139
2016-W2,85-89,3570
2016-W2,90-94,2511
2016-W2,95+,847
2016-W2,Insgesamt,18439
2016-W20,0-29,162
2016-W20,30-34,44
2016-W20,35-39,84
2016-W20,40-44,103
2016-W20,45-49,225
2016-W20,50-54,440
2016-W20,55-59,627
2016-W20,60-64,841
2016-W20,65-69,1170
2016-W20,70-74,1459
2016-W20,75-79,2484
2016-W20,80-84,2893
2016-W20,85-89,3166
2016-W20,90-94,2137
2016-W20,95+,766
2016-W20,Insgesamt,16601
2016-W21,0-29,158
2016-W21,30-34,50
2016-W21,35-39,78
2016-W21,40-44,103
2016-W21,45-49,212
2016-W21,50-54,452
2016-W21,55-59,618
2016-W21,60-64,832
2016-W21,65-69,1151
2016-W21,70-74,1399
2016-W21,75-79,2410
2016-W21,80-84,2818
2016-W21,85-89,3026
